iter	Passed	Remaining
0	178	178413
1	181	90787
2	185	61580
3	196	48913
4	201	40088
5	206	34259
6	211	29939
7	213	26474
8	216	23856
9	220	21796
10	224	20140
11	227	18734
12	234	17788
13	237	16743
14	245	16102
15	251	15465
16	254	14713
17	258	14082
18	263	13600
19	270	13248
20	276	12870
21	279	12437
22	282	12017
23	285	11621
24	289	11299
25	292	10972
26	296	10668
27	303	10526
28	308	10321
29	310	10032
30	316	9904
31	323	9786
32	328	9638
33	331	9417
34	334	9224
35	337	9039
36	341	8885
37	343	8705
38	346	8529
39	352	8449
40	357	8352
41	360	8218
42	363	8085
43	365	7950
44	369	7847
45	371	7712
46	375	7605
47	382	7583
48	385	7490
49	388	7382
50	392	7296
51	394	7193
52	397	7101
53	400	7012
54	405	6973
55	410	6923
56	415	6869
57	418	6801
58	424	6775
59	428	6714
60	431	6640
61	434	6572
62	438	6518
63	442	6467
64	444	6390
65	446	6322
66	453	6319
67	456	6257
68	459	6196
69	463	6151
70	466	6107
71	471	6083
72	476	6045
73	478	5992
74	482	5950
75	485	5900
76	489	5869
77	493	5827
78	500	5830
79	505	5818
80	509	5779
81	513	5743
82	514	5678
83	515	5624
84	519	5588
85	521	5546
86	528	5545
87	531	5508
88	535	5478
89	537	5431
90	539	5389
91	541	5348
92	543	5305
93	550	5301
94	552	5266
95	556	5241
96	560	5215
97	564	5193
98	566	5154
99	570	5136
100	574	5113
101	577	5087
102	580	5057
103	583	5024
104	586	4998
105	588	4966
106	592	4945
107	594	4914
108	596	4878
109	600	4856
110	602	4827
111	604	4795
112	608	4774
113	610	4742
114	612	4712
115	615	4690
116	617	4662
117	620	4637
118	622	4609
119	624	4579
120	626	4551
121	629	4532
122	632	4509
123	634	4481
124	638	4467
125	640	4445
126	643	4424
127	646	4401
128	648	4378
129	651	4360
130	653	4336
131	655	4311
132	659	4299
133	661	4275
134	667	4273
135	670	4257
136	674	4248
137	676	4225
138	678	4205
139	682	4190
140	684	4168
141	685	4143
142	691	4142
143	695	4135
144	698	4119
145	701	4103
146	705	4091
147	707	4073
148	712	4070
149	718	4068
150	720	4048
151	721	4027
152	724	4012
153	727	3997
154	729	3978
155	736	3986
156	740	3973
157	741	3953
158	743	3932
159	745	3915
160	748	3899
161	750	3881
162	753	3867
163	757	3861
164	760	3848
165	762	3833
166	764	3814
167	769	3812
168	775	3814
169	777	3797
170	779	3780
171	785	3779
172	786	3761
173	791	3755
174	793	3742
175	796	3728
176	798	3714
177	800	3698
178	803	3686
179	809	3686
180	812	3677
181	814	3660
182	816	3643
183	819	3633
184	822	3621
185	824	3606
186	829	3606
187	831	3592
188	835	3585
189	837	3571
190	839	3556
191	842	3547
192	848	3547
193	851	3537
194	853	3524
195	856	3512
196	859	3502
197	863	3498
198	868	3495
199	871	3486
200	875	3478
201	876	3464
202	879	3452
203	882	3445
204	889	3449
205	891	3437
206	893	3424
207	897	3418
208	899	3404
209	902	3396
210	905	3387
211	911	3388
212	914	3378
213	918	3372
214	922	3369
215	925	3360
216	928	3350
217	931	3340
218	935	3335
219	937	3323
220	940	3315
221	944	3309
222	948	3303
223	951	3297
224	954	3288
225	957	3277
226	958	3265
227	960	3252
228	963	3242
229	966	3235
230	968	3222
231	971	3215
232	973	3204
233	975	3193
234	978	3186
235	981	3175
236	982	3163
237	985	3156
238	990	3153
239	993	3147
240	997	3142
241	1002	3140
242	1005	3130
243	1007	3122
244	1013	3122
245	1015	3113
246	1020	3109
247	1023	3102
248	1029	3104
249	1033	3100
250	1035	3090
251	1038	3082
252	1041	3073
253	1043	3064
254	1047	3061
255	1054	3063
256	1059	3062
257	1061	3054
258	1066	3049
259	1072	3052
260	1076	3046
261	1078	3037
262	1082	3032
263	1084	3023
264	1086	3014
265	1090	3008
266	1092	3000
267	1099	3003
268	1103	2997
269	1105	2989
270	1107	2980
271	1112	2976
272	1114	2968
273	1117	2960
274	1120	2952
275	1122	2944
276	1124	2935
277	1127	2929
278	1129	2919
279	1132	2911
280	1134	2903
281	1136	2894
282	1138	2885
283	1142	2880
284	1144	2870
285	1145	2860
286	1148	2852
287	1153	2850
288	1157	2846
289	1161	2843
290	1163	2834
291	1165	2825
292	1168	2819
293	1172	2815
294	1175	2810
295	1178	2802
296	1181	2796
297	1184	2789
298	1186	2782
299	1188	2774
300	1191	2767
301	1196	2764
302	1199	2758
303	1202	2753
304	1204	2744
305	1207	2737
306	1209	2731
307	1212	2723
308	1215	2717
309	1218	2711
310	1221	2705
311	1224	2699
312	1226	2692
313	1231	2690
314	1233	2682
315	1237	2678
316	1240	2673
317	1244	2668
318	1247	2662
319	1249	2656
320	1252	2650
321	1255	2644
322	1259	2640
323	1262	2633
324	1265	2628
325	1273	2632
326	1278	2631
327	1282	2628
328	1292	2635
329	1296	2632
330	1299	2626
331	1301	2618
332	1304	2612
333	1307	2608
334	1310	2601
335	1313	2596
336	1319	2596
337	1324	2593
338	1328	2590
339	1331	2584
340	1334	2578
341	1336	2571
342	1339	2566
343	1343	2562
344	1345	2554
345	1350	2552
346	1355	2550
347	1359	2547
348	1364	2545
349	1366	2538
350	1369	2532
351	1373	2528
352	1375	2521
353	1381	2520
354	1384	2516
355	1387	2510
356	1391	2506
357	1394	2500
358	1397	2494
359	1400	2489
360	1403	2483
361	1406	2478
362	1410	2475
363	1413	2469
364	1416	2465
365	1420	2460
366	1422	2453
367	1424	2446
368	1426	2440
369	1431	2436
370	1436	2434
371	1439	2429
372	1441	2423
373	1444	2417
374	1447	2412
375	1450	2407
376	1458	2409
377	1462	2407
378	1466	2403
379	1468	2396
380	1471	2390
381	1474	2385
382	1476	2378
383	1480	2374
384	1482	2368
385	1484	2361
386	1487	2356
387	1495	2358
388	1499	2355
389	1502	2350
390	1505	2345
391	1509	2340
392	1512	2336
393	1515	2330
394	1518	2325
395	1526	2327
396	1529	2322
397	1532	2317
398	1534	2312
399	1537	2306
400	1541	2302
401	1543	2295
402	1547	2292
403	1554	2292
404	1559	2291
405	1562	2285
406	1567	2284
407	1572	2281
408	1577	2279
409	1580	2273
410	1582	2268
411	1585	2263
412	1587	2256
413	1589	2250
414	1592	2245
415	1597	2243
416	1600	2238
417	1604	2234
418	1608	2229
419	1611	2225
420	1614	2220
421	1616	2214
422	1618	2207
423	1622	2203
424	1624	2198
425	1632	2199
426	1635	2194
427	1638	2189
428	1640	2183
429	1642	2177
430	1645	2172
431	1647	2165
432	1649	2160
433	1652	2155
434	1654	2148
435	1660	2147
436	1663	2143
437	1666	2138
438	1669	2133
439	1673	2129
440	1676	2125
441	1679	2119
442	1687	2121
443	1691	2117
444	1694	2113
445	1697	2108
446	1699	2102
447	1704	2099
448	1707	2095
449	1711	2092
450	1717	2091
451	1721	2086
452	1724	2081
453	1727	2077
454	1729	2072
455	1732	2067
456	1735	2062
457	1738	2057
458	1741	2053
459	1743	2047
460	1747	2042
461	1750	2038
462	1752	2033
463	1755	2028
464	1759	2024
465	1763	2020
466	1765	2015
